Overall Qual,Year Built,Exter Qual,Gr Liv Area,Kitchen Qual,Bsmt Qual,Neighborhood,SalePrice
7,2004,3,1576,3,4,Blmngtn,219990
7,1999,3,1479,3,4,CollgCr,191000
5,1925,2,1060,2,3,BrkSide,136500
4,1958,2,943,3,0,Edwards,80000
7,1988,3,2183,3,4,NWAmes,229000
7,1993,3,1949,3,4,SawyerW,236000
10,2006,4,1824,4,5,Timber,392000
6,1927,2,1930,2,3,IDOTRR,149000
10,1998,4,2393,4,4,Somerst,345000
5,1900,3,2014,2,2,OldTown,169000
4,1946,2,1242,2,3,Edwards,109900
7,1993,2,2000,2,4,Mitchel,188000
6,1939,2,1412,2,3,BrkSide,132500
5,1994,2,990,2,3,CollgCr,143000
5,1951,2,1342,2,2,Edwards,125000
9,2005,4,1868,4,5,NridgHt,415000
4,1910,2,1363,2,2,OldTown,125500
6,1958,2,1632,2,3,NAmes,139000
10,2008,4,2296,4,5,NridgHt,451950
5,1959,2,1678,2,3,Edwards,119900
8,2001,3,1296,3,5,Timber,220000
6,1971,2,1587,2,3,NAmes,167300
5,1941,2,1298,2,3,Edwards,122000
5,1963,2,1728,2,3,Sawyer,125000
5,1957,2,928,2,3,OldTown,112500
7,2005,3,1795,3,4,CollgCr,191000
6,1958,2,1080,2,3,NAmes,136000
7,1998,2,1779,3,4,CollgCr,197900
6,1910,2,1635,3,3,OldTown,117000
7,2006,3,1220,3,4,CollgCr,194000
9,2001,3,1310,3,5,Somerst,285000
5,1940,2,1355,2,3,Edwards,127500
7,1992,3,2295,3,4,NoRidge,268000
4,1900,2,1798,2,3,OldTown,137000
7,1967,2,1620,3,3,NWAmes,215000
5,1955,2,1216,2,3,NAmes,129500
5,1936,2,1344,2,4,BrkSide,115000
5,1925,2,1159,2,3,OldTown,114000
4,1966,2,1056,2,3,SawyerW,107000
5,1947,2,1216,2,3,NAmes,118500
6,1929,2,1158,2,3,BrkSide,120000
8,2005,3,1538,3,4,Somerst,260000
5,1959,2,1143,2,3,NAmes,136000
4,1971,2,872,2,3,NAmes,123000
6,1920,2,1406,1,3,IDOTRR,89500
6,2005,3,1324,3,4,Gilbert,199500
5,1966,2,904,2,3,Sawyer,109900
7,1926,3,2080,3,4,Crawfor,234000
6,2004,3,848,3,4,CollgCr,155900
4,1957,2,1788,2,3,ClearCr,161500
6,1958,2,1344,3,3,Timber,137500
5,1910,2,2256,1,3,OldTown,76500
6,1988,3,2060,2,4,ClearCr,211000
6,1998,3,1337,3,4,NAmes,181000
6,1966,2,1165,2,3,NAmes,174900
5,1966,2,1320,2,3,Sawyer,164500
7,2004,3,1535,3,4,NridgHt,214000
7,1980,2,2044,2,4,NWAmes,185000
4,1929,2,1136,2,3,BrkSide,123000
6,1979,2,1299,3,4,Mitchel,183500
8,1999,3,1441,3,4,Somerst,174000
5,1953,2,1630,2,3,Edwards,130000
7,1925,2,1641,4,3,OldTown,178000
5,1997,2,1629,2,4,Gilbert,189900
6,2003,3,848,3,4,CollgCr,144000
6,1930,3,816,2,3,IDOTRR,120500
5,1994,2,1097,2,4,CollgCr,145000
8,2000,3,1652,4,4,StoneBr,251000
4,1968,2,1768,2,3,Sawyer,136500
4,1955,2,1152,2,0,Edwards,82500
2,1910,1,810,2,0,IDOTRR,57625
7,2007,3,1358,3,4,NridgHt,212500
6,1998,2,1216,2,5,Mitchel,164000
6,1957,2,1638,3,3,IDOTRR,139000
7,1999,3,1252,3,4,Somerst,160000
5,1992,2,883,2,4,Mitchel,149000
5,1968,2,874,2,3,Mitchel,130000
7,1921,2,1710,2,3,OldTown,140000
8,2008,3,1836,3,4,Somerst,264500
5,1957,2,1092,2,3,NAmes,141000
7,2006,3,1241,3,4,Somerst,199900
6,1977,2,1334,2,4,NWAmes,167900
6,1960,2,1429,3,3,NAmes,181900
8,2008,3,1566,3,4,Somerst,262500
7,1977,2,2288,3,4,NWAmes,230000
9,1999,3,1709,3,5,Somerst,328900
8,2005,3,1721,3,4,NridgHt,232698
8,2008,3,1254,3,4,CollgCr,221800
5,1941,2,1350,3,3,Sawyer,152400
7,2000,3,1630,3,4,CollgCr,213000
7,2005,3,1585,3,4,SawyerW,184900
5,1953,2,1336,2,3,Crawfor,157000
5,1962,2,1211,2,3,Sawyer,144000
6,1979,2,1353,2,4,NWAmes,192350
7,1966,2,1200,2,3,NAmes,163500
7,1990,2,2329,3,4,SawyerW,262280
7,2002,3,1536,3,4,CollgCr,214000
6,1956,2,1811,4,3,Crawfor,230000
7,2006,3,2172,3,5,NridgHt,280000
4,1957,2,1073,2,3,IDOTRR,140000
6,1966,2,1839,2,3,NAmes,155000
3,1918,1,1020,1,3,IDOTRR,64500
6,1993,3,1802,3,4,SawyerW,218000
5,1977,2,1009,2,3,CollgCr,160000
8,2007,3,1338,3,4,Somerst,208900
5,1959,2,3820,4,0,Edwards,284700
7,2007,3,1392,3,4,Somerst,146000
8,1996,3,1288,4,4,Veenker,245500
6,1926,2,1013,2,3,BrkSide,113000
8,2004,3,1782,3,5,NridgHt,296000
9,2005,3,1922,3,5,StoneBr,377426
10,2006,4,1718,4,5,NridgHt,337500
10,2004,4,2492,4,5,NridgHt,552000
4,1948,2,936,2,2,Edwards,97900
6,2009,3,1218,3,4,Somerst,208300
7,1996,2,1820,3,4,Mitchel,213000
7,1998,2,1724,3,4,CollgCr,188000
6,1958,2,1336,2,3,NAmes,162000
5,1950,2,1558,2,3,IDOTRR,152000
7,2004,3,1947,3,4,Somerst,254900
7,1994,3,1657,3,4,SawyerW,189000
7,1978,3,2064,3,4,NWAmes,235000
5,1950,2,1164,2,3,Edwards,125000
7,1975,2,836,2,4,NPkVill,120000
1,1951,2,1600,2,0,Mitchel,81500
6,1990,2,816,2,4,Edwards,118500
9,2009,4,1766,4,5,Somerst,370878
5,1949,2,2002,2,3,Crawfor,145000
7,1939,3,1954,3,3,Crawfor,311500
7,2006,3,1364,3,4,Blmngtn,210250
7,2002,3,1861,3,4,CollgCr,200000
5,1977,2,1734,3,0,Mitchel,126000
4,1900,3,1039,2,2,OldTown,114000
4,1910,3,1510,3,2,OldTown,87500
8,2005,3,2541,4,5,StoneBr,349265
8,2004,3,1512,3,4,SawyerW,203000
7,2001,3,1434,3,4,SawyerW,189000
7,2003,3,1653,3,4,Somerst,209000
6,1900,2,2007,4,2,OldTown,160000
5,1974,2,1037,2,2,Sawyer,129000
5,1974,2,1389,2,4,Mitchel,170000
5,1913,2,694,3,3,Crawfor,90350
6,1924,2,1096,2,3,Edwards,79000
5,1972,2,894,2,3,CollgCr,149900
5,1971,2,864,2,4,NAmes,123000
4,1900,2,1774,2,3,OldTown,87000
6,1977,2,1118,2,3,Mitchel,171000
6,1950,2,1252,2,3,NAmes,119000
5,1959,2,1148,2,3,NAmes,132500
8,1925,2,1666,3,3,OldTown,161000
9,2001,3,1947,3,4,CollgCr,274000
5,1967,2,912,2,3,Sawyer,125000
5,1946,2,1195,2,3,Edwards,98500
8,1994,3,1624,3,4,NoRidge,262000
5,1979,2,914,2,3,CollgCr,134900
5,1959,2,1328,2,3,Timber,170000
6,1926,2,1461,2,3,Crawfor,135000
6,1990,3,2683,3,4,NoRidge,290000
7,2007,3,1258,3,4,Gilbert,173500
5,1948,2,2008,4,3,Edwards,225000
5,1961,2,1187,2,3,NAmes,140500
5,1994,2,990,2,4,CollgCr,126000
8,1999,3,1586,3,4,Somerst,170000
5,1995,2,990,2,4,CollgCr,156000
5,1957,2,1600,2,3,NAmes,207500
8,2007,3,1792,3,4,Somerst,255000
4,1973,2,988,2,4,MeadowV,94900
5,1958,2,1170,2,3,NAmes,140000
3,1905,2,1376,2,3,OldTown,96900
5,1966,2,1154,2,3,NAmes,154000
8,1910,3,1772,3,3,OldTown,184900
10,2007,4,2084,4,5,NridgHt,385000
4,1936,2,951,2,3,IDOTRR,106500
8,2000,3,2687,3,4,NoRidge,327000
9,2005,4,2490,4,5,Somerst,468000
6,1927,2,1666,2,3,IDOTRR,135000
6,2005,3,1141,2,4,SawyerW,142500
5,1968,2,1464,2,3,NAmes,141000
5,1910,2,1347,2,4,Edwards,107500
5,1942,2,1282,2,3,SWISU,108500
6,1994,2,1320,3,4,SawyerW,150000
3,1916,2,936,2,2,IDOTRR,78000
8,2007,3,1580,3,4,Somerst,235128
7,1971,2,1824,3,4,ClearCr,302000
5,1975,2,1558,2,3,CollgCr,163000
3,1945,2,640,2,0,Edwards,84900
6,1974,2,1322,2,3,NPkVill,147000
7,1915,3,1826,4,3,OldTown,155000
7,1990,2,1339,2,4,Timber,180000
4,1930,1,1092,1,0,IDOTRR,55000
7,2003,3,1146,3,5,Timber,187500
6,1976,2,1125,2,3,Edwards,125000
7,1936,3,2057,3,4,Crawfor,250000
5,1910,2,899,2,3,OldTown,78000
4,1910,2,1594,2,3,OldTown,118000
8,2007,4,1694,3,5,NridgHt,318000
8,1993,3,1911,3,4,SawyerW,215000
4,1925,2,672,2,2,IDOTRR,72000
6,1976,2,1523,2,4,NWAmes,180000
6,1986,2,1651,2,4,Timber,184000
5,1959,2,1041,2,3,NAmes,124500
5,1958,2,1604,2,3,NAmes,135000
6,1940,2,1672,3,3,BrkSide,164900
7,1969,2,1164,2,3,NWAmes,140000
5,1958,2,1041,2,3,NAmes,128000
6,1978,2,1034,2,4,Sawyer,153000
6,1910,3,1609,2,4,OldTown,127500
5,1950,2,1337,3,3,NAmes,141500
8,1994,3,2622,3,5,NoRidge,325000
7,1993,2,1594,3,4,NWAmes,188500
6,2006,3,1262,3,4,Somerst,185000
6,2005,2,1175,3,4,SawyerW,146000
6,1917,2,1288,4,3,OldTown,119000
5,1971,2,1302,2,3,BrDale,112000
8,2005,3,1247,3,4,Somerst,197000
9,2006,3,2589,4,5,NridgHt,412083
8,2002,3,1689,3,4,Mitchel,271000
7,2003,3,1405,3,4,NridgHt,200000
7,1976,2,1324,3,4,NWAmes,174000
5,1960,2,1377,2,3,NAmes,156500
6,1996,3,1756,2,5,Timber,204000
5,1966,2,1228,3,3,Sawyer,149350
5,1954,2,1008,2,3,NAmes,137000
7,1998,3,2031,3,4,CollgCr,222500
6,2007,3,1504,3,4,Gilbert,166000
5,1920,2,936,2,3,OldTown,109500
4,1954,2,1383,2,0,Edwards,122000
5,1920,2,967,2,3,OldTown,99900
8,2006,3,1656,3,4,Somerst,249700
6,1950,2,1152,3,3,Crawfor,158500
6,2005,2,1142,3,3,SawyerW,139500
6,2000,3,1403,3,4,Timber,202000
5,1959,2,1712,2,3,NAmes,145000
4,1969,2,1258,2,4,Sawyer,108959
5,1948,2,1687,2,3,Timber,160000
5,1958,2,1560,2,3,NAmes,128600
7,1976,2,1935,2,4,NWAmes,197900
7,1976,3,1083,2,5,NWAmes,172000
5,1977,2,907,2,4,CollgCr,130000
6,1999,3,1675,3,5,Timber,195000
5,1954,2,988,2,3,Mitchel,113000
8,2001,3,1491,3,5,Mitchel,209000
7,1987,2,1479,3,4,Timber,213500
5,1951,2,1112,2,3,NAmes,126000
6,1956,2,1689,2,3,Edwards,127500
9,2007,4,1710,4,5,StoneBr,334000
6,1960,2,1253,2,3,NAmes,157000
5,1962,2,864,2,3,NAmes,125500
7,2005,3,1456,3,4,CollgCr,189000
7,1990,2,1217,3,4,Mitchel,173000
7,1974,3,2646,3,4,Veenker,260000
8,2007,3,1768,3,4,CollgCr,212000
5,1996,3,914,2,4,CollgCr,148000
6,1964,2,1775,2,3,NAmes,136300
5,1977,2,2620,2,4,Sawyer,190000
5,1900,2,1627,2,2,OldTown,139500
7,2003,3,1320,3,4,Gilbert,162000
4,1939,2,1123,2,3,IDOTRR,100000
5,1968,2,874,2,3,Mitchel,126500
7,1986,3,2730,3,3,SawyerW,301000
6,1997,2,1786,3,4,CollgCr,204750
4,1949,2,1040,2,0,NAmes,90000
5,1920,2,2350,2,3,OldTown,130000
5,1968,2,1770,2,4,NAmes,155000
5,1960,2,1269,2,3,NAmes,155000
5,1965,2,1039,2,3,Sawyer,131500
6,1955,2,1520,2,3,NAmes,153000
8,2007,3,1704,3,5,NridgHt,306000
9,2006,3,1686,4,5,NridgHt,332200
8,2007,3,1646,3,4,Timber,293077
4,1961,2,914,2,3,NAmes,128000
6,1926,2,1616,3,3,OldTown,152000
4,1949,2,1192,2,3,NAmes,135000
6,1880,2,2210,1,3,OldTown,117500
6,1927,2,1296,2,3,OldTown,127500
8,1981,3,2497,3,4,Veenker,373000
6,1970,2,1092,2,3,MeadowV,98000
7,1994,2,1652,3,4,Crawfor,203135
7,1996,3,1716,3,4,CollgCr,191000
5,1956,2,1014,2,0,NAmes,98000
5,1987,2,1200,2,4,Edwards,179000
8,2006,3,1432,3,5,Somerst,245000
7,1998,3,1680,3,5,NWAmes,213250
4,1948,2,869,2,0,OldTown,89900
7,1998,2,1718,2,4,Gilbert,185000
6,1973,2,1092,2,3,BrDale,113500
3,1929,2,715,2,3,NAmes,68000
7,2003,3,1560,3,5,Mitchel,201000
7,2005,3,1768,3,4,Somerst,226700
10,2007,4,2290,4,5,NridgHt,500067
7,2004,3,1598,3,4,Gilbert,201490
5,1994,2,990,2,4,CollgCr,155000
5,1978,2,941,3,4,NAmes,145000
6,1920,2,1362,2,2,BrkSide,128000
6,2000,2,1690,2,4,Gilbert,187000
6,2005,2,1072,2,4,Edwards,145500
4,1925,2,572,2,3,IDOTRR,75000
7,2005,3,1546,3,4,CollgCr,217000
7,2008,3,1346,3,4,Timber,220000
6,1972,2,1790,2,3,NWAmes,165150
6,1978,2,1026,2,4,CollgCr,147000
7,1996,3,1504,3,4,CollgCr,203000
5,1959,2,1700,3,3,NAmes,165500
3,1914,2,864,2,3,Edwards,67000
6,1964,2,1851,3,3,NAmes,187000
6,2000,3,1512,3,4,Somerst,180000
6,1921,2,1298,2,3,Crawfor,146500
7,2000,3,1673,3,3,CollgCr,270000
6,1992,2,996,3,4,SawyerW,147000
6,1948,2,1224,2,3,NAmes,132000
4,1920,1,1374,2,3,OldTown,105000
5,1912,2,1716,1,3,SWISU,135900
8,2003,4,3279,4,4,StoneBr,538000
7,2006,3,1143,3,4,SawyerW,147000
9,2006,3,1652,4,5,NridgHt,325000
5,1947,3,1054,2,3,Sawyer,124000
5,1965,2,935,2,3,Sawyer,137000
4,1915,2,2377,3,3,OldTown,142900
5,1948,2,1122,3,3,OldTown,147000
5,1970,2,1180,2,3,NAmes,128000
7,1916,2,1690,2,3,OldTown,144000
8,2006,3,1370,3,4,NridgHt,205000
5,1964,2,1486,2,3,Edwards,167000
5,1941,2,1131,2,3,OldTown,66500
8,1993,3,2799,3,4,NoRidge,315000
7,2006,3,1456,3,4,CollgCr,155835
8,1995,3,1734,3,4,StoneBr,239500
9,2006,3,1531,4,5,NridgHt,300000
8,2002,3,1922,3,4,Timber,282000
5,1960,2,1144,2,3,NAmes,120000
7,1954,2,1363,2,4,ClearCr,241500
9,2008,4,1866,4,4,NridgHt,336860
3,1922,2,1077,2,3,IDOTRR,91000
8,2006,3,1550,3,4,Somerst,207500
7,2004,3,1646,4,5,Crawfor,250000
7,2005,3,1248,3,4,Blmngtn,167240
7,2004,3,1245,3,4,Somerst,178000
6,1963,2,1052,2,3,NWAmes,127000
6,1967,2,1829,2,3,NWAmes,218500
4,1956,2,952,2,3,NAmes,135750
7,2003,3,1480,3,4,NAmes,214000
8,2005,3,1844,3,4,SawyerW,257000
6,1937,2,1497,2,3,BrkSide,157000
5,1942,2,976,2,3,IDOTRR,102000
5,1921,2,964,2,4,Crawfor,163500
7,1999,3,1501,3,4,CollgCr,204000
5,1956,2,1560,2,3,Edwards,103500
6,1914,1,3395,1,3,SWISU,200000
5,1958,2,864,2,3,SWISU,118000
7,2000,3,1525,3,4,CollgCr,235000
5,1962,2,1190,2,3,NAmes,132500
8,2006,3,1830,3,4,Somerst,221300
7,2004,3,1500,3,4,CollgCr,190000
7,2002,3,1762,3,4,CollgCr,222000
7,1959,3,1902,4,4,Crawfor,335000
8,2008,3,1658,3,4,Somerst,257500
9,2008,3,1506,4,4,Somerst,264132
5,1967,2,899,3,3,Sawyer,130000
5,1930,2,1654,2,3,BrkSide,137000
5,1930,2,912,2,3,IDOTRR,99500
5,1978,2,1373,2,4,Sawyer,160250
7,2004,3,1709,3,4,Edwards,130000
5,1922,2,816,2,3,IDOTRR,75200
6,1993,2,1091,2,4,Mitchel,131250
6,1960,2,1081,2,3,NAmes,148000
5,1965,2,1020,2,3,Sawyer,124100
7,1961,4,999,4,3,NAmes,178400
4,1977,2,1440,2,4,Edwards,150000
7,1998,3,1753,2,4,CollgCr,217000
8,2005,3,1964,3,4,Somerst,252000
7,2006,3,1141,3,4,SawyerW,152000
7,1929,2,854,2,3,BrkSide,132000
6,1945,2,1182,2,2,OldTown,120000
9,2005,4,2091,4,5,NridgHt,338500
4,1920,2,985,2,3,NAmes,105000
7,1996,2,1446,2,4,Gilbert,175000
7,1977,2,2022,2,4,ClearCr,192000
7,2004,3,1948,3,4,CollgCr,195000
8,2008,3,1590,3,4,Somerst,210000
7,2003,3,1948,3,4,Gilbert,211000
4,1936,2,1324,2,3,BrkSide,128000
6,1964,2,1425,2,3,NAmes,180500
5,1900,2,2337,2,3,OldTown,90000
5,1940,2,908,2,3,NAmes,138500
7,2006,3,1492,3,4,Gilbert,169985
5,1961,2,1150,2,3,NAmes,146000
7,1993,3,2097,3,4,SawyerW,228000
5,1959,2,1256,3,3,NAmes,159000
8,2006,3,1939,3,4,Somerst,266000
5,1924,2,1566,3,3,OldTown,139000
4,1955,2,784,2,3,Edwards,91900
8,2006,3,1500,3,4,CollgCr,212999
9,2004,3,1850,3,5,NridgHt,326000
6,2004,3,1515,3,4,Gilbert,179000
8,2006,3,1537,3,5,Timber,294000
6,1972,2,987,2,3,BrDale,97000
7,2006,3,1962,3,4,CollgCr,239799
5,1961,2,1433,2,3,NAmes,161000
6,2003,3,848,3,4,CollgCr,136500
6,1972,2,987,3,3,BrDale,118000
4,1982,2,845,2,3,Mitchel,129500
7,1925,3,1548,4,3,BrkSide,205000
6,1957,3,2515,2,3,Crawfor,200624
8,2006,3,1694,3,5,NridgHt,322400
8,2007,3,1602,3,4,CollgCr,293200
9,2005,4,1684,4,5,NridgHt,266000
6,1978,2,1683,2,3,Sawyer,172500
5,1890,2,1869,2,3,OldTown,124900
6,1923,2,1432,3,3,BrkSide,149000
7,2004,3,1414,3,4,CollgCr,185500
8,2002,3,1358,3,4,CollgCr,220000
8,2007,3,1496,3,4,Somerst,225000
6,1950,2,932,3,3,NAmes,124000
3,1950,2,1040,2,0,NAmes,92900
5,1925,2,1072,2,3,BrkSide,126500
4,1972,2,864,2,3,NAmes,111250
8,2000,3,2285,3,4,NoRidge,248000
5,1963,2,1117,2,3,NAmes,136870
6,2003,3,848,3,4,CollgCr,133000
5,1956,2,1048,2,3,NAmes,135000
4,1969,2,936,2,4,NAmes,111900
5,1962,2,1283,2,3,NAmes,140000
4,1959,2,1588,2,0,ClearCr,134432
10,2006,4,2042,4,5,StoneBr,455000
8,1994,3,2526,3,4,NoRidge,290000
7,1999,3,1873,3,4,CollgCr,235500
6,1900,2,1416,3,3,OldTown,156500
6,2000,2,1664,2,4,Gilbert,172400
7,2007,3,1428,3,4,Somerst,182000
9,2005,4,1792,3,5,NridgHt,372397
6,1995,3,2814,3,4,SawyerW,260000
5,1919,2,819,3,3,IDOTRR,72000
3,1915,1,1344,2,3,IDOTRR,82375
6,1972,2,2119,2,3,NWAmes,158000
5,1948,2,1285,2,3,BrkSide,127000
7,1987,3,1433,3,4,SawyerW,270000
8,1983,3,2132,3,4,SawyerW,316600
6,1959,2,1357,4,3,Edwards,177000
7,1990,3,2196,3,4,SawyerW,271900
5,1976,2,1304,2,4,MeadowV,115000
8,1872,2,2358,2,3,OldTown,122000
8,1986,3,2726,3,4,Crawfor,315000
7,2006,3,1797,3,4,CollgCr,213500
5,1950,2,1040,2,0,NAmes,109500
5,1948,2,789,2,3,OldTown,115000
7,2004,3,1143,3,4,Somerst,176400
6,1968,2,1489,3,3,NWAmes,185750
8,1999,3,1852,3,4,CollgCr,230000
4,1958,2,960,2,3,Edwards,90000
10,2008,4,5642,4,5,Edwards,160000
5,1970,2,768,2,4,Mitchel,129500
6,1956,2,1124,2,3,NAmes,153000
6,2009,3,1224,3,4,Somerst,173733
6,2006,2,1100,2,4,SawyerW,146000
6,1949,2,1556,2,3,NAmes,172500
6,1977,2,1356,2,4,Mitchel,188000
6,1976,2,1262,2,4,Veenker,181500
7,1996,3,1661,3,4,CollgCr,212000
7,1978,2,1857,2,3,NWAmes,188900
3,1946,1,666,3,2,BrkSide,64500
6,1978,2,1981,3,4,ClearCr,230000
5,1925,2,1351,2,3,Edwards,122000
5,1956,2,1005,2,3,NAmes,133500
6,1920,3,2792,2,4,OldTown,256000
5,1976,2,1475,2,4,MeadowV,129500
8,2003,3,1978,3,4,CollgCr,318000
8,2006,3,1606,3,4,NridgHt,255900
6,2004,2,1158,3,4,SawyerW,143500
8,2005,3,1822,4,5,NridgHt,259000
6,1953,2,2259,3,4,Crawfor,217000
6,1923,2,1635,2,4,BrkSide,210000
5,1970,2,1002,2,3,NAmes,148500
6,2006,2,1412,3,4,Gilbert,156932
5,1965,2,1728,2,3,NAmes,145000
7,2007,3,1290,3,4,CollgCr,200000
10,2005,4,2046,4,5,NridgHt,450000
6,1999,2,1471,2,4,Somerst,172500
6,1974,2,2614,2,3,NWAmes,240000
8,2004,3,2466,3,4,Somerst,340000
8,2007,3,1466,3,4,Timber,201000
5,1975,2,969,2,3,CollgCr,122000
7,1978,2,1664,3,4,NWAmes,213000
6,1967,3,1691,2,3,NAmes,175000
7,2007,3,1208,3,4,CollgCr,195400
5,1967,2,1052,2,3,Sawyer,113500
6,1939,2,1577,1,3,BrkSide,140200
5,1968,2,909,2,3,Sawyer,116000
9,2005,4,1838,4,4,Timber,359900
6,1977,2,1388,2,4,CollgCr,157500
5,1955,3,1867,2,3,ClearCr,190000
5,1924,2,1301,1,3,BrkSide,100000
6,1964,2,1251,2,3,NAmes,160000
7,2002,3,1444,3,4,CollgCr,203000
8,1990,3,2810,3,5,NoRidge,302000
6,1980,2,923,2,4,SawyerW,143000
8,1998,3,2452,3,4,CollgCr,267000
4,1964,2,1224,2,0,NAmes,103000
6,1998,2,1337,2,5,Mitchel,153500
5,1975,2,1701,2,4,Sawyer,171000
4,1924,2,1669,2,3,Edwards,107000
6,1968,2,952,2,3,NAmes,128500
5,1957,2,922,2,3,NAmes,116000
5,1977,2,1126,2,3,Mitchel,160000
8,1992,3,1280,3,4,StoneBr,180000
5,1970,2,914,4,3,NAmes,133000
7,1997,2,1368,2,4,Mitchel,215000
6,1942,2,1494,3,3,Crawfor,177500
8,2006,3,1534,3,4,Somerst,215000
5,1938,2,1582,2,3,BrkSide,150000
7,1990,2,3222,3,4,SawyerW,320000
6,1964,2,1516,2,3,NAmes,167000
5,1935,2,1032,2,0,Edwards,125000
3,1949,2,1588,2,2,OldTown,65000
